name,learning_rate,d_model,n_heads,num_layers,ff_dim,dropout,runs,seeds,dev_slot_f1_mean,dev_slot_f1_std,dev_intent_accuracy_mean,dev_intent_accuracy_std,test_slot_f1_mean,test_slot_f1_std,test_intent_accuracy_mean,test_intent_accuracy_std,best_checkpoint_path
seq_lr_5em02,0.05,128,1,1,512,0.0,3,42 101 27,0.12714737681109314,0.049893661788954644,0.7543507362784472,0.006207241295512545,0.11855517775254272,0.05173398204909821,0.7323628219484882,0.01054456654858196,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em02_seed_101.pt
seq_lr_1em02,0.01,128,1,1,512,0.0,3,42 101 27,0.5482503087580953,0.06489330700951633,0.7617135207496654,0.0075727633862013016,0.484854606523155,0.07245006192546359,0.7487868607689436,0.01970234150115214,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em02_seed_27.pt
seq_lr_5em03,0.005,128,1,1,512,0.0,3,42 101 27,0.7284492865185174,0.045081085794047064,0.8186077643908969,0.05080845974390452,0.6689651184522111,0.03140466725157418,0.7887271369914147,0.0453984196954409,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em03_seed_101.pt
seq_lr_1em03,0.001,128,1,1,512,0.0,3,42 101 27,0.9477619799115607,0.002837554650236345,0.9772423025435074,0.003412998335738134,0.8921200284356229,0.004148938361374565,0.9484882418812989,0.007141144632216863,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em03_seed_42.pt
seq_lr_5em04,0.0005,128,1,1,512,0.0,3,42 101 27,0.9495239320286374,0.006442076453061592,0.9805890227576975,0.004732977116375827,0.8946733994566601,0.006308717789235274,0.9540873460246361,0.0024190894730899085,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em04_seed_27.pt
seq_lr_1em04,0.0001,128,1,1,512,0.0,3,42 101 27,0.9448761660510553,0.00724338929407682,0.9792503346720215,0.005008912164356035,0.8961996973149464,0.007660128602001751,0.9455020530048525,0.0023010130656845843,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em04_seed_42.pt
seq_d_model_64,0.0005,64,1,1,512,0.0,3,42 101 27,0.9394300133984549,0.006236349207028374,0.9812583668005356,0.0025044560821780373,0.8869606759357803,0.004332572407169358,0.9451287793952967,0.009143298778585945,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_64_seed_101.pt
seq_d_model_128,0.0005,128,1,1,512,0.0,3,42 101 27,0.9495239320286374,0.006442076453061592,0.9805890227576975,0.004732977116375827,0.8946733994566601,0.006308717789235274,0.9540873460246361,0.0024190894730899085,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_128_seed_27.pt
seq_d_model_256,0.0005,256,1,1,512,0.0,3,42 101 27,0.948255956820276,0.00036065727861523897,0.9712182061579652,0.0034129983357381486,0.8892340433654421,0.004491242417409852,0.9436356849570736,0.006862551814427137,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_256_seed_101.pt
seq_d_model_384,0.0005,384,1,1,512,0.0,3,42 101 27,0.9496318001068591,0.0016663909341179933,0.9685408299866132,0.005008912164356025,0.8893928820655965,0.00289132423695193,0.9380365808137364,0.003695220207768448,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_384_seed_27.pt
seq_lr_5em02,0.05,128,1,1,512,0.0,3,42 101 27,0.12714737681109314,0.049893661788954644,0.7543507362784472,0.006207241295512545,0.11855517775254272,0.05173398204909821,0.7323628219484882,0.01054456654858196,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em02_seed_101.pt
seq_lr_1em02,0.01,128,1,1,512,0.0,3,42 101 27,0.5482503087580953,0.06489330700951633,0.7617135207496654,0.0075727633862013016,0.484854606523155,0.07245006192546359,0.7487868607689436,0.01970234150115214,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em02_seed_27.pt
seq_lr_5em03,0.005,128,1,1,512,0.0,3,42 101 27,0.7284492865185174,0.045081085794047064,0.8186077643908969,0.05080845974390452,0.6689651184522111,0.03140466725157418,0.7887271369914147,0.0453984196954409,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em03_seed_101.pt
